prox.horizontal[0] ," prox.horizontal[1]" ," prox.horizontal[2]" ," prox.horizontal[3]" ," prox.horizontal[4]" ," prox.horizontal[5]" ," prox.horizontal[6]" , "timestamp"
0.000000,2345.000000,2800.000000,0.000000,0.000000,0.000000,0.000000,25247.000000
0.000000,2345.000000,2802.000000,0.000000,0.000000,0.000000,0.000000,25387.000000
0.000000,2343.000000,2802.000000,0.000000,0.000000,0.000000,0.000000,25538.000000
0.000000,2344.000000,2798.000000,0.000000,0.000000,0.000000,0.000000,25665.000000
0.000000,2346.000000,2799.000000,0.000000,0.000000,0.000000,0.000000,25809.000000
0.000000,2347.000000,2797.000000,0.000000,0.000000,0.000000,0.000000,26056.000000
0.000000,2343.000000,2798.000000,0.000000,0.000000,0.000000,0.000000,26289.000000
0.000000,2347.000000,2798.000000,0.000000,0.000000,0.000000,0.000000,26444.000000
0.000000,2346.000000,2800.000000,0.000000,0.000000,0.000000,0.000000,26573.000000
0.000000,2344.000000,2798.000000,0.000000,0.000000,0.000000,0.000000,26705.000000
0.000000,2345.000000,2800.000000,0.000000,0.000000,0.000000,0.000000,26869.000000
0.000000,2343.000000,2797.000000,0.000000,0.000000,0.000000,0.000000,27004.000000
0.000000,2343.000000,2801.000000,0.000000,0.000000,0.000000,0.000000,27151.000000
0.000000,2344.000000,2796.000000,0.000000,0.000000,0.000000,0.000000,27299.000000
0.000000,2347.000000,2801.000000,0.000000,0.000000,0.000000,0.000000,27454.000000
0.000000,2346.000000,2799.000000,0.000000,0.000000,0.000000,0.000000,27590.000000
0.000000,2348.000000,2804.000000,0.000000,0.000000,0.000000,0.000000,27896.000000
0.000000,2345.000000,2798.000000,0.000000,0.000000,0.000000,0.000000,28048.000000
0.000000,2349.000000,2801.000000,0.000000,0.000000,0.000000,0.000000,28176.000000
0.000000,2347.000000,2799.000000,0.000000,0.000000,0.000000,0.000000,28328.000000
0.000000,2346.000000,2804.000000,0.000000,0.000000,0.000000,0.000000,28472.000000
